Make,Model,sale ,Fuel Type,Transmission,Color,Owner_a,Seller Type,Engine_a,Max Power,Max Torque,Drivetrain,Price USD,Kilometer,Length_a,Width,Height,Seating Capacity,Fuel Tank Capacity,Year_a
Honda,Amaze 1.2 VX i-VTEC,12/12/2019,Gasolina,Manual,Grey,First,Corporate,1198 cc,87 bhp @ 6000 rpm,109 Nm @ 4500 rpm,FWD,6060.00,87150,3990,1680,1505,5,9.24,2017
Maruti Suzuki,Swift DZire VDI,9/10/2022,Diesel,Manual,White,Second,Individual,1248 cc,74 bhp @ 4000 rpm,190 Nm @ 2000 rpm,FWD,5400.00,75000,3995,1695,1555,5,11.088,2014
Toyota,Glanza G,1/23/2021,Gasolina,Manual,Red,First,Individual,1197 cc,82 bhp @ 6000 rpm,113 Nm @ 4200 rpm,FWD,9588.00,37500,3995,1745,1510,5,9.768,2019
Toyota,Innova 2.4 VX 7 STR [2016-2020],11/23/2019,Diesel,Manual,Grey,First,Individual,2393 cc,148 bhp @ 3400 rpm,343 Nm @ 1400 rpm,RWD,23400.00,69000,4735,1830,1795,7,14.52,2018
Maruti Suzuki,Ciaz ZXi,5/1/2018,Gasolina,Manual,Grey,First,Individual,1373 cc,91 bhp @ 6000 rpm,130 Nm @ 4000 rpm,FWD,8100.00,73315,4490,1730,1485,5,11.352,2017
Mercedes-Benz,CLA 200 Petrol Sport,3/22/2018,Gasolina,Automatic,White,Second,Individual,1991 cc,181 bhp @ 5500 rpm,300 Nm @ 1200 rpm,FWD,22788.00,47000,4630,1777,1432,5,0,2015
BMW,X1 xDrive20d M Sport,8/27/2018,Diesel,Automatic,White,Second,Individual,1995 cc,188 bhp @ 4000 rpm,400 Nm @ 1750 rpm,AWD,31800.00,75000,4439,1821,1612,5,13.464,2017
Skoda,Octavia 1.8 TSI Style Plus AT [2017],2/21/2021,Gasolina,Automatic,White,First,Individual,1798 cc,177 bhp @ 5100 rpm,250 Nm @ 1250 rpm,FWD,16680.00,56000,4670,1814,1476,5,13.2,2017
Nissan,Terrano XL (D),5/23/2022,Diesel,Manual,White,First,Individual,1461 cc,84 bhp @ 3750 rpm,200 Nm @ 1900 rpm,FWD,6900.00,85000,4331,1822,1671,5,13.2,2015
Hyundai,Elite i20 Sportz 1.2,6/22/2019,Gasolina,Manual,Red,First,Individual,1197 cc,82 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD,7092.00,20281,3985,1734,1505,5,11.88,2017
Renault,Kwid 1.0 RXT [2016-2019],6/29/2019,Gasolina,Manual,Grey,First,Individual,999 cc,67 bhp @ 5500 rpm,91 Nm @ 4250 rpm,FWD,5520.00,22541,3679,1579,1478,5,7.392,2018
Maruti Suzuki,Ciaz Alpha Hybrid 1.5 AT [2018-2020],1/28/2020,Gasolina,Automatic,Blue,First,Individual,1462 cc,103 bhp @ 6000 rpm,138 Nm @ 4400 rpm,FWD,12900.00,30672,4490,1730,1485,5,11.352,2019
Tata,Harrier XZ [2019-2020],8/19/2020,Diesel,Manual,Orange,First,Individual,1956 cc,138 bhp @ 3750 rpm,350 Nm @ 1750 rpm,FWD,20340.00,20856,4598,1894,1706,5,13.2,2019
Volkswagen,Polo GT TSI,2/12/2020,Gasolina,Automatic,Grey,First,Individual,1197 cc,103 bhp @ 5000 rpm,175 Nm @ 1500 rpm,FWD,11340.00,41417,3971,1682,1469,5,11.88,2017
Maruti Suzuki,Celerio ZXi AMT [2019-2020],7/12/2021,Gasolina,Automatic,Red,First,Individual,998 cc,67 bhp @ 6000 rpm,90 Nm @ 3500 rpm,FWD,6828.00,11471,3695,1600,1560,5,9.24,2016
Maruti Suzuki,Alto 800 LXi (O),4/11/2020,Gasolina,Manual,Grey,First,Individual,796 cc,47 bhp @ 6000 rpm,69 Nm @ 3500 rpm,FWD,5388.00,3583,3445,1515,1475,5,9.24,2019
Maruti Suzuki,Baleno Alpha Automatic,9/19/2020,Gasolina,Automatic,Grey,First,Individual,1197 cc,82 bhp @ 6000 rpm,113 Nm @ 4200 rpm,FWD,10740.00,21365,3995,1745,1510,5,9.768,2018
Maruti Suzuki,Wagon R ZXi 1.2 AMT,7/31/2021,Gasolina,Automatic,White,First,Individual,1197 cc,82 bhp @ 6000 rpm,113 Nm @ 4200 rpm,FWD,8388.00,30777,3655,1620,1675,5,8.448,2020
Hyundai,Creta 1.6 E Petrol,8/29/2020,Gasolina,Manual,Silver,First,Individual,1591 cc,122 bhp @ 6400 rpm,154 Nm @ 4850 rpm,FWD,8880.00,60125,4270,1780,1630,5,15.84,2016
